Company_name,website,location
FleGo,http://www.flego.nl/,Hoogeveen Netherlands (HQ)
PAIX Data Centres,http://www.paix.io/,Amsterdam Netherlands (HQ)
Pharmaoffer.com,https://pharmaoffer.com/,Haarlem Netherlands (HQ)
Skinive BV,https://skinive.com/,Amsterdam Netherlands (HQ)
SLAM Orthopedic,http://www.slamortho.com/,Delft Netherlands (HQ)
Go Live World,http://www.golive.world/,Nederweert Netherlands (HQ)
Akthel Healthcare,https://www.akthel.nl/,Netherlands (HQ)
Ferlem bv,http://www.ferlem.com/,Helmond Netherlands (HQ)
Odd.Bot,http://odd.bot/,"Almere Netherlands (HQ), Rotterdam Netherlands, The Hague Netherlands, Delft Netherlands (founding location)"
HC Groep,http://www.hcgroep.com/,Waalwijk Netherlands (HQ)
Vico Therapeutics,https://www.vicotx.com/,Leiden Netherlands (HQ)
Kitepower,https://kitepower.nl/,Delft Netherlands (HQ)
Blendle,https://blendle.com/,Utrecht Netherlands (HQ)
Siilo,https://www.siilo.com/,Amsterdam Netherlands (HQ)
FlixBus,https://global.flixbus.com/,"München Germany (HQ), Munich Germany, Los Angeles United States, New York United States, Amsterdam Netherlands, Levallois-Perret France, Milano Italy, Munich Germany, Munich Germany, Berlin Germany, Zagreb Croatia, Budapest Hungary, Stockholm Sweden, Moskva Russia"
Inuka Coaching,http://inuka.io/,Amsterdam Netherlands (HQ)
AgriPlace,https://www.agriplace.com/,Amsterdam Netherlands (HQ)
ASOBO,https://goasobo.com/,"Mbita Kenya (HQ), Amsterdam Netherlands"
Oceans of Energy,https://oceansofenergy.blue/,"Leiden Netherlands (HQ), Leiden Netherlands"
Enzyre,https://enzyre.com/,Nijmegen Netherlands (HQ)
Smart Spinal Solutions,https://wearlia.com/,Eindhoven Netherlands (HQ)
One Shoe,https://oneshoe.nl/,Utrecht Netherlands (HQ)
The Cirqle,https://thecirqle.com/,Amsterdam Netherlands (HQ)
Jamf,http://jamf.com/,"Minneapolis United States (HQ & founding location), North Sydney Australia, Amsterdam Netherlands"
PlantLab,https://www.plantlab.com/,'s-Hertogenbosch Netherlands (HQ)
Insider,http://useinsider.com/,"Istanbul Turkey (HQ), Kiev Ukraine, Singapore, Amsterdam Netherlands"
Energyworx,https://www.energyworx.com/,"Houten Netherlands (HQ), San Francisco United States"
